user_id,Recency,Frequency,Monetary,R,F,M,RFM_Score
1515915625420909332,157,1,23.4,1,1,1,3
1515915625421333363,146,1,93.4,1,1,3,5
1515915625422203509,156,3,109.31,1,3,3,7
1515915625423620207,146,1,50.32,1,1,2,4
1515915625423788629,9,3,852.9000000000001,4,3,4,11
1515915625423895828,154,2,30.2,1,2,1,4
1515915625425059411,147,5,408.44,1,4,4,9
1515915625427437146,94,1,187.29,2,1,3,6
1515915625428438380,78,1,31.75,2,1,1,4
1515915625430934156,157,2,64.74,1,2,2,5
1515915625431723268,133,2,147.3,1,2,3,6
1515915625432436912,157,1,22.48,1,1,1,3
1515915625432636868,147,3,57.150000000000006,1,3,2,6
1515915625432648860,110,3,465.29999999999995,2,3,4,9
1515915625433260957,137,2,95.8,1,2,3,6
1515915625433262170,148,1,32.22,1,1,1,3
1515915625433494974,145,1,209.4,1,1,3,5
1515915625433660999,48,1,38.44,3,1,2,6
1515915625433847045,153,1,27.62,1,1,1,3
1515915625434896421,103,1,80.03,2,1,2,5
1515915625436259682,152,1,240.11,1,1,3,5
1515915625438177075,144,1,20.32,1,1,1,3
1515915625438232064,148,1,86.76,1,1,2,4
1515915625439475378,147,3,129.32999999999998,1,3,3,7
1515915625440681960,145,1,57.62,1,1,2,4
1515915625442200990,135,1,218.11,1,1,3,5
1515915625442519230,147,2,86.22,1,2,2,5
1515915625444523168,151,1,43.11,1,1,2,4
1515915625445030226,116,1,9.21,1,1,1,3
1515915625445142086,91,1,259.38,2,1,3,6
1515915625445971424,131,2,18.42,1,2,1,4
1515915625446257195,157,5,429.6,1,4,4,9
1515915625447095000,92,2,128.96,2,2,3,7
1515915625447652053,152,1,30.16,1,1,1,3
1515915625448784458,108,2,22.26,2,2,1,5
1515915625449531064,155,2,310.2,1,2,4,7
1515915625450328730,113,4,1918.04,2,3,4,9
1515915625450420744,148,2,122.26,1,2,3,6
1515915625450683751,157,1,357.35,1,1,4,6
1515915625450826262,146,1,30.0,1,1,1,3
1515915625451779549,146,4,468.04,1,3,4,8
1515915625452396195,140,1,25.24,1,1,1,3
1515915625453733905,149,2,56.22,1,2,2,5
1515915625453911815,109,1,60.54,2,1,2,5
1515915625454237078,158,1,41.94,1,1,2,4
1515915625454349734,130,1,13.48,1,1,1,3
1515915625454960223,148,4,459.32,1,3,4,8
1515915625455846276,157,2,86.22,1,2,2,5
1515915625457059599,120,1,111.27,1,1,3,5
1515915625458303287,155,6,65.72,1,4,2,7
1515915625458583458,147,1,16.19,1,1,1,3
1515915625459404369,152,1,210.9,1,1,3,5
1515915625460540267,142,1,41.43,1,1,2,4
1515915625461208186,152,1,204.29,1,1,3,5
1515915625461593155,133,9,3020.8,1,4,4,9
1515915625462038992,120,3,259.44,1,3,3,7
1515915625462138414,150,2,37.26,1,2,2,5
1515915625462335572,147,1,57.14,1,1,2,4
1515915625464284084,134,2,214.32,1,2,3,6
1515915625465639142,118,4,817.16,1,3,4,8
1515915625465740126,102,6,628.26,2,4,4,10
1515915625466016884,158,1,204.29,1,1,3,5
1515915625466195424,142,3,210.51,1,3,3,7
1515915625466235566,150,2,317.89,1,2,4,7
1515915625466366854,152,1,192.86,1,1,3,5
1515915625467000819,114,2,400.7,1,2,4,7
1515915625467132635,130,1,15.7,1,1,1,3
1515915625467267855,154,4,124.75999999999999,1,3,3,7
1515915625467421823,150,4,496.42999999999995,1,3,4,8
1515915625467827145,127,4,612.2,1,3,4,8
1515915625467951113,109,2,406.04,2,2,4,8
1515915625468335169,45,1,49.84,3,1,2,6
1515915625468568154,144,1,16.19,1,1,1,3
1515915625468583481,146,1,187.78,1,1,3,5
1515915625469269159,148,2,64.44,1,2,2,5
1515915625469270684,32,6,1254.3000000000002,4,4,4,12
1515915625469806973,148,3,510.0,1,3,4,8
1515915625470057771,150,3,476.13,1,3,4,8
1515915625470179176,155,1,50.79,1,1,2,4
1515915625470625172,155,1,18.19,1,1,1,3
1515915625470995608,158,1,33.08,1,1,2,4
1515915625471945634,132,3,221.37,1,3,3,7
1515915625472056936,150,1,26.98,1,1,1,3
1515915625472101004,151,2,107.8,1,2,3,6
1515915625472598226,152,1,309.21,1,1,4,6
1515915625472777985,105,1,259.94,2,1,3,6
1515915625472832380,155,2,57.78,1,2,2,5
1515915625473326905,105,3,183.48,2,3,3,8
1515915625473590169,154,2,107.02,1,2,3,6
1515915625473899890,75,3,52.38,2,3,2,7
1515915625473938034,145,6,1951.5,1,4,4,9
1515915625473996480,104,1,85.62,2,1,2,5
1515915625474108059,157,1,25.08,1,1,1,3
1515915625474259296,153,2,350.1,1,2,4,7
1515915625474287927,68,2,182.8,3,2,3,8
1515915625474785243,146,1,15.08,1,1,1,3
1515915625474888347,126,5,1111.57,1,4,4,9
1515915625475025856,144,2,957.5,1,2,4,7
1515915625475083496,148,4,817.16,1,3,4,8
1515915625475606110,15,2,65.96,4,2,2,8
1515915625475652424,154,2,19.68,1,2,1,4
1515915625476087754,145,2,128.96,1,2,3,6
1515915625476168209,142,4,375.6,1,3,4,8
1515915625476588533,136,1,72.38,1,1,2,4
1515915625476662868,42,2,32.38,3,2,2,7
1515915625476932116,150,2,97.46,1,2,3,6
1515915625476938288,154,1,13.02,1,1,1,3
1515915625476991896,148,1,257.87,1,1,3,5
1515915625477767168,151,1,154.78,1,1,3,5
1515915625478408904,140,1,204.29,1,1,3,5
1515915625479288963,151,1,41.27,1,1,2,4
1515915625479434403,153,1,59.95,1,1,2,4
1515915625479832144,78,1,41.52,2,1,2,5
1515915625479966700,117,3,37.769999999999996,1,3,2,6
1515915625480686209,33,1,43.89,4,1,2,7
1515915625480784302,128,1,35.25,1,1,2,4
1515915625480940320,125,1,80.67,1,1,2,4
1515915625481156621,115,1,147.87,1,1,3,5
1515915625481244678,152,1,175.56,1,1,3,5
1515915625481367404,91,2,143.18,2,2,3,7
1515915625481681679,91,2,59.36,2,2,2,6
1515915625481706156,144,2,294.42,1,2,4,7
1515915625482081016,149,1,445.14,1,1,4,6
1515915625482383745,120,2,280.51,1,2,3,6
1515915625483402054,110,11,691.81,2,4,4,10
1515915625483595665,156,1,31.59,1,1,1,3
1515915625484505146,153,1,325.95,1,1,4,6
1515915625485572958,143,2,191.8,1,2,3,6
1515915625486235716,47,2,37.78,3,2,2,7
1515915625486256855,108,1,629.95,2,1,4,7
1515915625486409945,128,1,204.29,1,1,3,5
1515915625486521695,147,3,32.519999999999996,1,3,2,6
1515915625486764209,147,1,48.84,1,1,2,4
1515915625492451814,111,3,412.89,2,3,4,9
1515915625492654760,149,1,257.87,1,1,3,5
1515915625492846959,95,3,264.96,2,3,3,8
1515915625492851884,133,4,344.64,1,3,4,8
1515915625493306533,154,2,122.54,1,2,3,6
